Reviewer,Brand,Model,model,Location,lat,long,country,subreg1,subreg2,Study.Type,Freq1,Freq2,Freq3,Notes,Duration1,Duration2,Duration3,Duration4,Depth1,Depth2,Depth3,Depth4,Notes.1,Accuracy1,Accuracy2,Notes.2,Calibrated,Notes.3,Shaded,Notes.4,Data.Available,Notes.5,Citation,DOI,Notes.6,X
Lena,Sea-Bird Scientific,SBE 39 Temp,SBE 39,Jarvis Island,-0.37435,-159.99672,Line Islands,,,Biogeochemistry,30,,NA,,10 years,,,,7,15,,NA,7-15m,0.002,,,Not mentioned,,Not mentioned,,Yes,,"Alpert et al., 2016",http://dx.doi.org/10.1002/2015PA002897,,
Nicole,Sea-Bird Scientific,SeapHOx MicroCAT CTD,SBE 37,"Heron Island, Great Barrier Reef, Australia (, )",-23.45,151.91667,Australia,,,Biogeochemistry,30,,NA,,13 months,,,,Not mentioned,,,NA,,0.002,,,Yes,,Not mentioned,,No,,"Stoltenberg et al., 2020",http://dx.doi.org/10.1002/lno.11357,,
Wally,Sea-Bird Scientific,SeaFET,SeaFET,"Lizard Island, Australia ()",-14.66889,145.45944,Australia,,,Biogeochemistry,5,,NA,,~3 weeks,,,,5,,,NA,,Not mentioned,,,Yes,,Not mentioned,,Yes,,Hannan et al. 2020,http://dx.doi.org/10.1007/s00338-020-01973-z,,
Wally,Sea-Bird Scientific,SBE 37,SBE 37,"Gulf of California, Mexico",28.0332,-111.7749,Mexico,,,Biogeochemistry,30,,NA,,9 months,,,,15,,,NA,,0.002,,,Yes,,Not mentioned,,No,,Norzagaray et al. 2020,http://dx.doi.org/10.1016/j.csr.2020.104279,,
Wally,Sea-Bird Scientific,SBE 16,SBE 16,"Cheeca Rocks, Florida and La Parguera, Puerto Rico",24.8977,-80.6182,Florida,,,Biogeochemistry,Not mentioned,,NA,,Not mentioned,,,,1,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Melendez et al. 2020,http://dx.doi.org/10.1029/2020JC016108,,
Wally,Sea-Bird Scientific,SBE 37,SBE 37,"Cheeca Rocks, Florida and La Parguera, Puerto Rico",24.8977,-80.6182,Florida,,,Biogeochemistry,Not mentioned,,NA,,Not mentioned,,,,1,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Melendez et al. 2020,http://dx.doi.org/10.1029/2020JC016108,,
Wally,Sea-Bird Scientific,SBE 16 plus V2,SBE 16,"Bermuda (32.457º, -64.835º)",32.457,-64.835,Bermuda,,,Biogeochemistry,10,15,120,,~3 weeks,,,,7,,,NA,,0.002,0.005,,Not mentioned,,Not mentioned,,Yes,,Pezner et al. 2021,http://dx.doi.org/10.3389/fmars.2021.562267,,
Jess,Sea-Bird Scientific,SeaFET,SeaFET,"9°44.205′ S, 150°52.039′ E; 9°49.455′ S, 150°49.073′ E",-9.73675,150.86732,Papua New Guinea,Fergusson Island,,Ecology,5,,NA,,1.5-8.5,,,,2,3,,NA,3-Feb,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Lamare Miles D., Liddy Michelle and Uthicke Sven (2016) In situ developmental responses of tropical sea urchin larvae to ocean acidification conditions at naturally elevated pCO2 vent sites. Proc. R. Soc. B.2832016150620161506http://doi.org/10.1098/rspb.2016.1506",10.1098/rspb.2016.1506,,
Eslam,Sea-Bird Scientific,SBE 56,SBE 56,22° 28.804’ S; 166° 27.877’ E,-22.48007,166.46462,New Caledonia,,,Ecology,30,,NA,,Not mentioned,,,,2,7,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Lorrain A, Clavier J, Thébault J, Tremblay-Boyer L and others (2015) Variability in diel and seasonal in situ metabolism of the tropical gastropod Tectus niloticus. Aquat Biol 23:167-182. https://doi.org/10.3354/ab00618",10.3354/ab00618,from ReefTEMPS network,
Nicole,Sea-Bird Scientific,SBE 19 plus CTD,SBE 19  ,"Moorea (), French Polynesia ",-17.53333,-149.83333,French Polynesia,Moorea,,Ecology,1,1,0.5,2 samples/min,2,~2.5 months,~2 months (SBE-39 T),,2.3,6,10,26,"6, 10, 21, 26, 43",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Herdman et al., 2015",http://dx.doi.org/10.1002/2014JC010145,,
Nicole,Sea-Bird Scientific,SBE 37 CTD,SBE 37,"Moorea (17°32′S, 149°50′W), French Polynesia ",-17.53333,-149.83333,French Polynesia,Moorea,,Ecology,1,1,0.5,2 samples/min,2,~2.5 months,~2 months (SBE-39 T),,2.3,6,10,26,"6, 10, 21, 26, 43",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Herdman et al., 2015",http://dx.doi.org/10.1002/2014JC010145,,
Nicole,Sea-Bird Scientific,SBE 39T,SBE 39,"Moorea (17°32′S, 149°50′W), French Polynesia ",-17.53333,-149.83333,French Polynesia,Moorea,,Ecology,1,1,0.5,2 samples/min,2,~2.5 months,~2 months (SBE-39 T),,5,15,30,42,"5–15 m (at 1 m spacing) 17–29 m (at 2 m spacing) (SBE-39 T); 30, 35, 42 (SBE-39 T)",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Herdman et al., 2015",http://dx.doi.org/10.1002/2014JC010145,,
Nicole,Sea-Bird Scientific,SBE 16 plus V2,SBE 16,"Heron Reef (23°27′W), Great Barrier Reef, Australia",-23.51217,151.9535,Australia,,,Ecology,Not mentioned,,NA,,5 yrs 6 months (SBE-39P)  ,4 yrs 4 months (SBE-16),7 yrs 3 months (Sensus Ultra) ,18 yrs 4 months (Sensus Ultra),11,1,,NA,,0.005,,,Not mentioned,,Not mentioned,,Yes,,"Sadler et al., 2016",http://dx.doi.org/10.1002/2015PA002898,,
Nicole,Sea-Bird Scientific,SBE 39P,SBE 39,"Heron Reef (23°27′W), Great Barrier Reef, Australia",-23.51217,151.9535,Australia,,,Ecology,Not mentioned,,NA,,5 yrs 6 months (SBE-39P)  ,4 yrs 4 months (SBE-16),7 yrs 3 months (Sensus Ultra) ,18 yrs 4 months (Sensus Ultra),11,1,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Sadler et al., 2016",http://dx.doi.org/10.1002/2015PA002898,,
Nicole,Sea-Bird Scientific,SBE 37s,SBE 37,Palmyra Atoll (),5.86667,-162.08333,Line Islands,,,Ecology,Not mentioned,,NA," ""battery power constrained sampling frequencies""",~1 yr,~ 1yr,,,10,20,30,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Rogers et al., 2016",http://dx.doi.org/10.1002/lno.10365,,
Nicole,Sea-Bird Scientific,SBE 56 thermistors,SBE 56,"Palmyra Atoll (5° 52′N, 162° 05′W)",5.86667,-162.08333,Line Islands,,,Ecology,Not mentioned,,NA," ""battery power constrained sampling frequencies""",~1 yr,~ 1yr,,,10,20,30,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Rogers et al., 2016",http://dx.doi.org/10.1002/lno.10365,,
Wally,Sea-Bird Scientific,SBE 39s,SBE 39,"Moorea, French Polynesia and St. John, USVI",-17.5,-149.83333,French Polynesia,Moorea,,Ecology,0.25,2,NA,,14 yrs,,,,10,20,,NA,,0.002,,,Not mentioned,,Not mentioned,,Yes,,Edmunds 2021,http://dx.doi.org/10.1002/lno.11693,,
Lena,Sea-Bird Scientific,SBE 37,SBE 37,"Stetson Bank, NW Gulf of Mexico",28.2,-94.3,Texas,,,Ecology,60,,NA,,"1993–1995, 2002–2008",2008,,,23.5,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,?,"DeBose et al., 2013",http://dx.doi.org/10.1007/s00338-012-0971-3,,
Nicole,Sea-Bird Scientific,SBE 3F,SBE 3,"Bundegi, Australia",-21.85,114.15,Australia,,,Ecology,Not mentioned,,NA,,1 yr and 5 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Depczynski et al., 2013",http://dx.doi.org/10.1007/s00338-012-0974-0,,
Wally,Sea-Bird Scientific,SBE 16 plus V2,SBE 16,"Al Fahal reef, Saudi Arabia (22º14'59"", 38º57'45"")",22.24972,38.9625,Saudi Arabia,,,Ecology,60,,NA,,1 year,,,,8,8,,NA,,Not mentioned,0.2,,Not mentioned,,Not mentioned,,No,,Roik et al. 2016,http://dx.doi.org/10.1007/s00338-015-1383-y,,
Nicole,Sea-Bird Scientific,SBE 16 plus V2,SBE 16,"Cheeca Rocks (, )",24.8977,-80.6182,Florida,,,Ecology,180,,NA,,2 months,,,,1,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Gintert et al., 2018",http://dx.doi.org/10.1007/s00338-018-1678-x,,
Gage,Sea-Bird Scientific,SBE 56,SBE 56,Kirimati (Christmas) Island,1.8721,-157.4278,Line Islands,Christmas Island,,Ecology,60,,NA,,7 months,,,,10,12,,NA,12-Oct,Not mentioned,,,Not mentioned,,Not mentioned,,No,,McDevitt-Irwin et al. 2019,http://dx.doi.org/10.1007/s00338-019-01779-8,,
Nicole,Sea-Bird Scientific,SBE37 microcat (SeapHOx),SBE 37,"Galveston, Texas (27º54.5 N, 93º36.0 W) & (27º52.4 N, 93º48.8 W)",27.90833,-93.6,Texas,,,Ecology,60,,NA,,1 yr,,,,22,28,30,40,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Johnston et al., 2019",http://dx.doi.org/10.1007/s00338-019-01788-7,,
Nicole,Sea-Bird Scientific,SBE37 microcat (SeapHOx),SBE 37,Palmyra Atoll ,5.86667,-162.08333,Line Islands,,,Ecology,30,,NA,,~ 6 yrs,,,,5,10,,NA,10-May,0.01,," (SBE-37, not mentioned for TDFET)",Not mentioned,,Not mentioned,,No,,"Fox et al., 2019",http://dx.doi.org/10.1007/s00338-019-01796-7,,
Nicole,Sea-Bird Scientific,SeaFET,SeaFET,Palmyra Atoll ,5.86667,-162.08333,Line Islands,,,Ecology,30,,NA,,~ 6 yrs,,,,5,10,,NA,10-May,0.01,," (SBE-37, not mentioned for TDFET)",Not mentioned,,Not mentioned,,No,,"Fox et al., 2019",http://dx.doi.org/10.1007/s00338-019-01796-7,,
Lena,Sea-Bird Scientific,SBE 39,SBE 39,"Moorea, French Polynesia ",-17.5,-149.83333,French Polynesia,Moorea,,Ecology,2,,NA,,2005-2019,,,,10,20,,NA,,0.002,,,Not mentioned,,Not mentioned,,Yes,,"Johnston et al., 2022",http://dx.doi.org/10.1007/s00338-021-02107-9,,
