Reviewer,Brand,Model,model,Location,lat,long,country,subreg1,subreg2,Study.Type,Freq1,Freq2,Freq3,Notes,Duration1,Duration2,Duration3,Duration4,Depth1,Depth2,Depth3,Depth4,Notes.1,Accuracy1,Accuracy2,Notes.2,Calibrated,Notes.3,Shaded,Notes.4,Data.Available,Notes.5,Citation,DOI,Notes.6,X
Wally,Aanderaa,Aanderaa Oxygen optode,Aanderaa Oxygen optode,"Bermuda (32.457º, -64.835º)",32.457,-64.835,Bermuda,,,Biogeochemistry,10,15,120,,~3 weeks,,,,7,,,NA,,0.002,0.005,,Not mentioned,,Not mentioned,,Yes,,Pezner et al. 2021,http://dx.doi.org/10.3389/fmars.2021.562267,,
Gage,Aanderaa,SEAGUARD RCM,SEAGUARD RCM,"Keahole, Hawaii and Makapu'a, Hawaii, and Barbers Pinnacle, Hawaii",19.7268,-156.0619,Hawaii,,,Physical Oceanography,Not mentioned,,NA,,7 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Parrish and Oliver 2020,http://dx.doi.org/10.3389/fmars.2020.00310,,
Gage,Alec Electronics Co,Compact-CT,Compact-CT,"Iriomote Island, Japan (24°15–25′N, 123°40–55′E)",24.25,123.66667,Japan,,,Ecology,Not mentioned,,NA,,3 years,,,,Not mentioned,,,NA,0.4 from bottom,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Muko et al. 2013,http://dx.doi.org/10.1007/s00338-012-0967-z,,
Gage,Alec Electronics Co,Compact-CTW,Compact-CTW,"Iriomote Island, Japan (24°15–25′N, 123°40–55′E)",24.25,123.66667,Japan,,,Ecology,Not mentioned,,NA,,3 years,,,,Not mentioned,,,NA,0.4 from bottom,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Muko et al. 2013,http://dx.doi.org/10.1007/s00338-012-0967-z,,
Gage,Aquatec,AQUAlogger 210,AQUAlogger 210,"Hainan Island, South China Sea",20.02,110.3486,China,,,Ecology,Not mentioned,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Zhu et al. 2021,http://dx.doi.org/10.1016/j.marpolbul.2021.113048,,
Lena,Dataflow Systems Ltd,Odyssey,Odyssey,"Solitary Islands Marine Park (30° South), E Australia",-29.66667,153.08333,Australia,,,Ecology,30,,NA,,365,,,,7,13.4,,NA,,0.16,,,Yes,,Not mentioned,,Yes,,"Malcolm HA, Davies PL, Jordan A, Smith SDA (2011) Variation in sea temperature and the East Australian Current in the Solitary Islands region between 2001�2008. Deep Sea Research Part II:  Topical Studies in Oceanography 58: 616-627",https://doi.org/10.1016/j.dsr2.2010.09.030,Not sure whether to include because they used in situ but from someone else,Info for data used in http://dx.doi.org/10.1007/s00338-021-02081-2 came from cited paper here
Wally,DTS,Raman fiber ,Raman fiber ,"Dongsha Atoll, South China Sea",20.6553,116.9008,China,,,Physical Oceanography,1,,NA,,1 week,,,,0.5,3.5,,NA,,0.002,,,Yes,,Not mentioned,,No,,Reid et al. 2019,http://dx.doi.org/10.1002/lno.11162,"""reef flat is 0.5 to 3.5m""",
Nicole,Eureka Water Probes,Manta + Water Quality Sonde,Manta + Water Quality Sonde,"Mandapam group of Islands in Gulf of Mannar Marine Biosphere Reserve, India",9.21564,79.12834,India,,,Ecology,Not mentioned,,NA,,9 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Ramesh et al., 2020",http://dx.doi.org/10.1016/j.rsma.2020.101429,,
Lena,Gemini Data Loggers Ltd,Not mentioned,Not mentioned,"Suleman Reef, South Sinai, Egypt",27.91582,34.32995,Egypt,,,Ecology,240,,NA,,4 days,,,,0.5,0.8,,NA,0.5-0.8m,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Bach et al., 2017",http://dx.doi.org/10.3389/fmars.2017.00212,,
Gage,General Oceanics,Low velocity flow meter 2030R6,Low velocity flow meter 2030R6,"Keahole, Hawaii and Makapu'a, Hawaii, and Barbers Pinnacle, Hawaii",19.7268,-156.0619,Hawaii,,,Physical Oceanography,Not mentioned,,NA,,7 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Parrish and Oliver 2020,http://dx.doi.org/10.3389/fmars.2020.00310,,
Wally,Hugrun (now Star-Oddi),Starmon mini,Starmon mini,"Sodwana Bay, South Africa ()",-27.41492,32.72661,South Africa,,,Ecology,Not mentioned,,NA,,20 yrs,,,,18,,,NA,,0.02,0.025,,Yes,,Not mentioned,,No,,Porter and Schleyer 2017,http://dx.doi.org/10.1007/s00338-016-1531-z,,
Gage,Hugrun (now Star-Oddi),Starmon mini,Starmon mini,"Phuket Island, Thailand (7°50′N, 98°25.5′E) ",7.83333,98.425,Thailand,,,Physical Oceanography,5,30,NA,,Not mentioned,,,,Not mentioned,,,NA,,0.05,0.2 +/- 0.05% readings,,Yes,,Not mentioned,,Yes,,Sweet et al. 2017,http://dx.doi.org/10.1007/s00338-017-1572-y,"First sensor was used to take temp at surface of coral, second was an environmental monitor but needed to be read and recorded by the Grant Squirrel Logger",
Lena/Erik,Hugrun (now Star-Oddi),PTS sensor,PTS sensor,"16° 31.84′ S, 151° 42.27′ W",-16.53067,-151.7045,French Polynesia,,,Physical Oceanography,10,,NA,600 s,3 weeks,,,,2,,,NA,,0.0001,,,Yes,,Unclear,,No,,van Haren 2020,http://dx.doi.org/10.2112/JCOASTRES-D-19-00154.1,,
Jess,Innovasea VR2Tx ,acoustic receiver,acoustic receiver,throughout Florida Keys,24.6914,-81.18968,Florida,,,Ecology,60,,NA,,709 -1475,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,upon request,,"Brownscombe J, Griffin L, Morley D, Acosta A, Boucek R, Adams A, Danylchuk A, Cooke S. (2022). Spatial-temporal patterns of Permit (Trachinotus falcatus) habitat residency in the Florida Keys, USA. Environmental Biology of Fishes. 106. 1-13. 10.1007/s10641-022-01332-7. ",10.1007/s10641-022-01332-7,,
Gage,Lowell Instruments,TCM-3,TCM-3,"Keahole, Hawaii and Makapu'a, Hawaii, and Barbers Pinnacle, Hawaii",19.7268,-156.0619,Hawaii,,,Physical Oceanography,Not mentioned,,NA,,7 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Parrish and Oliver 2020,http://dx.doi.org/10.3389/fmars.2020.00310,,
Jess,Marine Geophysics Lab,Marotte HS drag-tilt current metres,Marotte HS drag-tilt current metres,"17°32′19.8″S, 149°49′46.3″W",-17.53883,-149.82953,French Polynesia,Moorea,,Ecology,Not mentioned,,NA,,56,,,,2.5,4,,NA,2.5-4,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Cortese, D, Norin, T, Beldade, R, Crespel, A, Killen, SS, Mills, SC. Physiological and behavioural effects of anemone bleaching on symbiont anemonefish in the wild. Funct Ecol. 2021; 35: 663– 674. https://doi.org/10.1111/1365-2435.13729",10.1111/1365-2435.13729,tracked in situ temp during ex situ expt on anemonefish,
Lena,Marine Geophysics Lab,Marotte HS drag-tilt current metres,Marotte HS drag-tilt current metres,"(23° 44′23′′S, 151° 91′48′′E)",-23.73972,152.53,Australia,,,Ecology,1,,NA,,23,,,,3,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Page et al., 2021",http://dx.doi.org/10.1093/conphys/coab046,,
Gage,Maxim Integrated Products,iButton,iButton,"La Parguera Natural Reserve, Puerto Rico",17.8823,-67.0703,Caribbean,,,Ecology,120,,NA,,6 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Tracy et al. 2019,http://dx.doi.org/10.1002/eap.2024,used two different loggers,
Lena,Maxim Integrated Products,iButton ,iButton ,"Buzios island, Brazil",-22.75978,-41.88753,Brazil,,,Ecology,120,,NA,,15,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Barbosa et al., 2019",http://dx.doi.org/10.3354/meps13110,,
Nicole,Maxim Integrated Products,i-Button DS1921G-F5#,i-Button DS1921G-F5#,"Farol beach, Arraial do Cabo, Brazil (, )",-22.96583,-42.02778,Brazil,,,Ecology,60,,NA,,~9 weeks,~8 weeks,,,4,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Lima et al., 2016",http://dx.doi.org/10.5343/bms.2015.1029,,
Nicole,Nortek,Aquadopp ADCP,Aquadopp ADCP,"Puerto Morelos coral reef lagoon (), Yucatan Peninsula ",20.88,-86.85944,Mexico,,,Physical Oceanography,10,,NA,,3 days,,,,1,Not mentioned,,NA,"""∼1 m above the sea floor up to ∼1 m below the sea surface""",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Parra et al., 2014",http://dx.doi.org/10.1007/s10236-014-0765-y,,
Jess,Not mentioned,Not mentioned,Not mentioned,6 sites in Caribbean,21.4691,-78.6569,Caribbean,,,Ecology,Not mentioned,,NA,"""Continuously""",365,,,,2,40,,NA,Feb-40,0.1,,,Not mentioned,,Not mentioned,,No,,"Aranda, DA; Oxenford, HA; Bissada, C; Diaz, ME; Brule, T; Delgado, GA; Morales, IM; Frenkiel, L (2014) Reproductive patterns of queen conch, Strombus gigas (Mollusca, Gastropoda), across the Wider Caribbean Region. BULLETIN OF MARINE SCIENCE 90: 813-831",10.5343/bms.2013.1072,,
Gage,Not mentioned,Not mentioned,Not mentioned,"Ofu Island, America Samoa",-14.17808,-169.66011,Samoa,,,Ecology,12,,NA,,2 yrs,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Traylor-Knowles 2016,http://dx.doi.org/10.1007/s00227-016-3011-y,,
Lena/Erik,Not mentioned,Not mentioned,Not mentioned,Ofu Island,-14.17808,-169.66011,Samoa,,,Ecology,Not mentioned,,NA,,August 2010 - July 2012,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Traylor-Knowles 2016,http://dx.doi.org/10.1007/s00227-017-3076-2,,
Gage,Not mentioned,Not mentioned,Not mentioned,Northeastern Hong Kong,22.3193,114.1694,China,,,Ecology,Not mentioned,,NA,,1 yr,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Ng and Ang Jr. 2016,http://dx.doi.org/10.1007/s00338-016-1458-4,,
Wally,Not mentioned,Not mentioned,Not mentioned,"Cygnet Bay, Australia (, )",-16.47967,123.0435,Australia,,,Ecology,Not mentioned,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Jung et al. 2021,http://dx.doi.org/10.1007/s00338-021-02094-x,,
Nicole,Not mentioned,Not mentioned ,Not mentioned ,"Moorea, French Polynesia (17°30′S, 149°50′W) ",-17.5,-149.83333,French Polynesia,Moorea,,Ecology,2,,NA,,1 yr 8 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Burkepile et al., 2019",http://dx.doi.org/10.1007/s10021-019-00433-2,"(""two thermistors"")",
Nicole,Not mentioned,Not mentioned,Not mentioned,"Kashiwajima (32°46′N, 132°38′E), Yokonami (, ), and Kushimoto (33°28 N, 135°44E) in Japan",33.4,133.4,Japan,,,Ecology,1440,,NA,Daily,1 yr,,,,5,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Tose et al., 2017",http://dx.doi.org/10.1007/s10641-017-0590-5,,
Lena,Not mentioned,Not mentioned,Not mentioned,Persian Gulf and Oman Sea,26.07652,52.62451,Qatar,,,Ecology,Not mentioned,,NA,,~335,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Howells et al., 2016",http://dx.doi.org/10.1016/j.marpolbul.2015.11.034,,
Lena,Not mentioned,Not mentioned,Not mentioned,Northwest shelf of Australia,-20.59424,116.7767,Australia,,,Ecology,15,30,NA,15-30,420-840,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Clarke et al., 2019",http://dx.doi.org/10.1029/2018PA003509,,
Lena,Not mentioned,Not mentioned ,Not mentioned ,"Cecile Peninsula, Kiritimati Island",1.85,-157.5,Line Islands,Christmas Island,,Ecology,30,,NA,,274 days,,,,0.5,1,,NA,0.5-1m,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Knebel et al., 2021",http://dx.doi.org/10.1029/2020JC016889,"(""CTD logger"")",
Lena,Not mentioned,Not mentioned,Not mentioned,"Nanwan Bay, Taiwan",21.94139,120.75278,Taiwan,,,Ecology,Not mentioned,,NA,,October 2018 to November 2019,,,,3,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Cirino et al., 2021",http://dx.doi.org/10.1080/17451000.2021.1906904,,
Lena,Not mentioned,Not mentioned,Not mentioned,"Milne Bay Province, Papua New Guinea",-9.5221,150.675,Papua New Guinea,Fergusson Island,,Ecology,Not mentioned,,NA,,~1260,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Noonan et al., 2016",http://dx.doi.org/10.1093/icesjms/fsv127,,
Lena,Not mentioned,Not mentioned,Not mentioned,"29°27′ N, 34°58′ E",29.45,34.96667,Jordan,,,Ecology,1,,NA,,Februrary-November 2013,,,,10,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Cardini et al., 2015",http://dx.doi.org/10.1098/rspb.2015.2257,,
Nicole,Not mentioned,Not mentioned,Not mentioned,"Lilipuna (21°25′36.8′′N, 157°47′24.0′′W) and () in central Kāne'ohe Bay, Hawai'i",21.45239,-157.80131,Hawaii,Hawaii,Oahu,Ecology,15,,NA,,1 yr 4 months,,,,1,,,NA,,Not mentioned,,,Yes,,Not mentioned,,Yes,,"Wall et al., 2021",http://dx.doi.org/10.1111/1365-2435.13795," (""temperature loggers"")",
Nicole,Not mentioned,Not mentioned ,Not mentioned ,Heron reef (),-23.51217,151.9535,Australia,,,Ecology,5,,NA,,3 months,,,,4,9,19,35,"4, 9, 19 and 35",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Weeks et al., 2013",http://dx.doi.org/10.3354/meps10398,"(""Subsurface temperature loggers"")",
Wally,Not mentioned,Not mentioned,Not mentioned,"Lizard Island and Heron Island, Australia",-14.66667,145.45,Australia,,,Ecology,70,,NA,,Not mentioned,,,,10,30,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Kingsford et al. 2022,http://dx.doi.org/10.3354/meps13920,,
Nicole,Not mentioned,Not mentioned ,Not mentioned ,"Mo’orea, French Polynesia () ",-17.5,-149.83333,French Polynesia,Moorea,,Ecology,2,,NA,,13 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Maher et al., 2020",http://dx.doi.org/10.3389/fevo.2020.555698,"(""two thermistors"")",
Wally,Not mentioned,Not mentioned,Not mentioned,"Great Barrier Reef, Australia",-18.15629,147.48596,Australia,,,Ecology,Not mentioned,,NA,,Not mentioned,,,,10,30,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Kingsford et al. 2019,http://dx.doi.org/10.3390/d11050067,,
Lena,Not mentioned,Not mentioned,Not mentioned,(26°39″N and 127°51′E),26.65,127.85,Japan,,,Ecology/Biogeochemistry,Not mentioned,,NA,,7,,,,0.5,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Sultana et al., 2016",http://dx.doi.org/10.3389/fmars.2016.00100,,
Wally,Not mentioned,Not mentioned,Not mentioned,"Kane'ohe Bay, Hawaii (20º25.98', -157º47.18')",20.433,-157.78633,Hawaii,,,Ecology/Physical Oceanography?,0.1,,NA,,2 weeks,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Silbiger et al. 2014,http://dx.doi.org/10.3354/meps10999,,
Gage,Not mentioned,Not mentioned,Not mentioned,"Sabine Bank, Espiritu Santo",-15.39,166.85,Vanuatu,Espiritu Santo,,Physical Oceanography,15,,NA,,8 yrs,,,,15,,,NA,,Not mentioned,,,Yes,,Not mentioned,,Yes,,Maes et al. 2013,http://dx.doi.org/10.1002/jgrc.20344,,
Gage,Not mentioned,Not mentioned,Not mentioned,Palmyra Atoll,5.86667,-162.08333,Line Islands,,,Physical Oceanography,Not mentioned,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Guillaume-Castel et al. 2021,http://dx.doi.org/10.1002/lom3.10449,,
Lena,Not mentioned,Not mentioned,Not mentioned,"Jarvis Island, US Line Islands ",-0.37435,-159.99672,Line Islands,,,Physical Oceanography,Not mentioned,,NA,,2002-2017,,,,0,19,,NA,0-19,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Vargas-Angel et al., 2019",http://dx.doi.org/10.1007/s00338-019-01838-0,,
Lena,Not mentioned,ACDP,ACDP,Florida,24.58588,-81.58143,Florida,,,Physical Oceanography?,Not mentioned,,NA,,17 months,,,,20,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,?,"Edge et al., 2013",http://dx.doi.org/10.1016/j.aquatox.2012.11.014,Not sure if acoustic doppler current profiler counts as a logger but they said it logged for over a year at 20m so I'm assuming yes,
Lena,Onset Computer Corporation,32K tidbit,HOBO TidbiT,"Solitary Islands Marine Park (30° South), E Australia",-29.66667,153.08333,Australia,,,Ecology,30,,NA,,365,,,,7,13.4,,NA,,0.16,,,Yes,,Not mentioned,,Yes,,"Malcolm HA, Davies PL, Jordan A, Smith SDA (2011) Variation in sea temperature and the East Australian Current in the Solitary Islands region between 2001�2008. Deep Sea Research Part II:  Topical Studies in Oceanography 58: 616-627",https://doi.org/10.1016/j.dsr2.2010.09.030,Not sure whether to include because they used in situ but from someone else,Info for data used in http://dx.doi.org/10.1007/s00338-021-02081-2 came from cited paper here
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Coral Bay (23.1'S) , Rottnest Island (32'S), Bremer Bay (34.3'S), Western Australia",-32.0041,115.5151,Australia,,,Biogeochemistry,10,,NA,,1.5-2 yrs,,,,Not mentioned,,,NA,,0.2,,,Not mentioned,,Not mentioned,,Yes,,"Ross et al., 2019",http://dx.doi.org/10.1111/gcb.14488,,
Jess,Onset Computer Corporation,HOBO,Not mentioned,"16.730◦ N, 87.786◦ W",16.73,-87.786,Belize,,,Ecology,30,,NA,,365,,,,8,10,,NA,10-Aug,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Manuel González-Rivero , Alexander V. Ereskovsky , Christine H. L. Schönberg , Renata Ferrari , Jane Fromont & Peter J. Mumby , Journal of Natural History (2013): Life-history traits of a common Caribbean coral-excavating sponge, Cliona tenuis (Porifera: Hadromerida), Journal of Natural History",10.1080/00222933.2013.802042,,
Jess,Onset Computer Corporation,HOBO,Not mentioned,"reef flat of West Hagåtña Bay, Guam",13.4443,144.79373,Guam,,,Ecology,30,,NA,,180,,,,1.25,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,only molecular data available,"Fifer J, Bentlage B, Lemer S, Fujimura AG, Sweet M, Raymundo LJ. Going with the flow: How corals in high-flow environments can beat the heat. Mol Ecol. 2021;00:1–16. https://doi.org/10.1111/mec.15869",10.1111/mec.15869,,
Gage,Onset Computer Corporation,HOBO,Not mentioned,"La Parguera Natural Reserve, Puerto Rico",17.8823,-67.0703,Caribbean,,,Ecology,120,,NA,,6 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Tracy et al. 2019,http://dx.doi.org/10.1002/eap.2024,used two different loggers,
Wally,Onset Computer Corporation,HOBO,Not mentioned,"Baja California to Oaxaca, Mexico",17.0732,-96.7266,Mexico,,,Ecology,360,,NA,,6 years,,,,6,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Carballo et al. 2013,http://dx.doi.org/10.1002/ece3.452,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Hind Bank, US Virgin Islands on Puerto Rican shelf ",18.19,-64.96,Caribbean,,,Ecology,15,,NA,,~4 months,,,,30,40,,NA,30-40,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Jossart et al., 2017",http://dx.doi.org/10.1007/s00227-017-3213-y,,
Lena,Onset Computer Corporation,HOBO,Not mentioned,"21°26′06.0″N, 157°47′27.9″W",21.435,-157.79108,Hawaii,Hawaii,Oahu,Ecology,Not mentioned,,NA,,4 months,,,,1,,,NA,<,Not mentioned,,,Yes,,Not mentioned,,No,,"Wall et al., 2018",http://dx.doi.org/10.1007/s00227-018-3317-z,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Tosa Bay, western Japan: Yokonami (YO; 33°24′N, 133°24′E) and Tei (TE; )",33.51667,133.75,Japan,Shikoku,,Ecology,60,,NA,,~ 2 years,,,,3,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Leriorato et al., 2019",http://dx.doi.org/10.1007/s00227-019-3557-6,,
Wally,Onset Computer Corporation,HOBO,Not mentioned,"Isabel Island, Mexico (21° 52′ 30˝ N, 105° 54′ 54˝ W)",21.875,-105.915,Mexico,,,Ecology,360,,NA,,4 years,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Bautista-Guerrero et al. 2014,http://dx.doi.org/10.1007/s00338-013-1094-1,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Quita Dukais, Red Sea ()",21.98333,38.85,Saudi Arabia,,,Ecology,Not mentioned,,NA,,2 days,3 days,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Bernstein et al., 2016",http://dx.doi.org/10.1007/s00338-015-1396-6,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Hog reef and Baileys Bay Reef Flats, Bermuda",32.457,-64.835,Bermuda,,,Ecology,30,,NA,,4 months,,,,4,8,,NA,8-Apr,0.1,,,Not mentioned,,Not mentioned,,No,,"de Putron et al., 2017",http://dx.doi.org/10.1007/s00338-016-1527-8,,
Wally,Onset Computer Corporation,HOBO,Not mentioned,Florida Keys,24.58588,-81.58143,Florida,,,Ecology,60,,NA,,2 years,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Lewis et al. 2017,http://dx.doi.org/10.1007/s00338-017-1545-1,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Ubatuba, São Paulo State, Brazil ()",-23.50028,-45.11861,Brazil,,,Ecology,Not mentioned,,NA,"""Continuously""",11 months,,,,Not mentioned,,,NA,aproximate location and depth of chosen colonies,0.53,,,Not mentioned,,Not mentioned,,No,,"Mies et al., 2018",http://dx.doi.org/10.1007/s00338-018-1692-z,,
Lena,Onset Computer Corporation,HOBO,Not mentioned,"(18°41.405’S, 146°31.272’E), (18°36.989’S, 146°29.832’E)",-18.69008,146.5212,Australia,,,Ecology,Not mentioned,,NA,,720,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Azmi Abdul Wahab et al., 2014",http://dx.doi.org/10.1016/j.jembe.2014.08.006,study done on coral reef sponges,
Lena/Erik,Onset Computer Corporation,HOBO,Not mentioned,"Wee Wee Caye, Belize  (,)",16.76,-88.14,Belize,,,Ecology,60,,NA,,2005-2014 (gap in data b/t 2008-2010 from loss of logger),,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Di Santo and Lobel, 2017",http://dx.doi.org/10.1016/j.jembe.2016.11.007,,
Wally,Onset Computer Corporation,HOBO,Not mentioned,"Sir Bur Nair Island, UAE",25.2257,54.22,United Arab Emirates,,,Ecology,60,,NA,,9 months,,,,2,5,10,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Bejarano et al. 2022,http://dx.doi.org/10.1016/j.marpolbul.2022.113570,,
Lena,Onset Computer Corporation,HOBO,Not mentioned,(26°08′52.32″N 80°05′45.48″W),26.14787,-80.09597,Florida,,,Ecology,120,,NA,,730,,,,25,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Chaves-Fonnegra et al., 2015",http://dx.doi.org/10.1017/S0025315415000636,,
Lena,Onset Computer Corporation,HOBO,Not mentioned,Bermuda Atoll,32.3078,-64.7505,Bermuda,,,Ecology,Not mentioned,,NA,,November 2010-September 2012,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Wong et al., 2021",http://dx.doi.org/10.1111/gcb.15629,,
Gage,Onset Computer Corporation,HOBO,Not mentioned,"Izu Peninsula, Japan (34°39′58.4″N 138°56′33.2″E), (34°19′01.7″N 139°12′35.9″E), ()",34.32083,139.20506,Japan,,,Ecology,Not mentioned,,NA,,1 yr,,,,4,6,,NA,6-Apr,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Agostini et al. 2021,http://dx.doi.org/10.1111/gcb.15749,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Panwa Cape (), Phuket, Thailand",7.80192,98.40678,Thailand,,,Ecology,Not mentioned,,NA,,7 months,,,,Not mentioned,Not mentioned,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Pramneechote et al., 2020",http://dx.doi.org/10.15666/aeer/1801_18631881,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Isla Taboguilla, Panama",8.8064,-79.5168,Panama,,,Ecology,60,,NA,,3 weeks,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Cunning et al., 2015",http://dx.doi.org/10.1890/14-0449.1,,
Lena,Onset Computer Corporation,HOBO,Not mentioned,"14°40.140S, 145°27.649E",-14.669,145.46082,Australia,,,Ecology,Not mentioned,,NA,,60,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Hoogenboom et al., 2017",http://dx.doi.org/10.3389/fmars.2017.00376,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Albion (, ) and Flic-en-Flac (20°16′17.7″S, 57°22′13.9″E), Mauritius ",-20.21653,57.39672,Mauritius,,,Ecology,60,,NA,,24 h,,,,0,0.9,,NA,0-0.9,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Lilkendey et al., 2019",http://dx.doi.org/10.3389/fmars.2019.00613,,
Nicole,Onset Computer Corporation,HOBO,Not mentioned,"Tridacna and Chain Reef, South Africa",-30.5595,22.9375,South Africa,,,Ecology,30,,NA,,1 yr 4 months,,,,9,16,18,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Upon request,,"Porter et al., 2021",http://dx.doi.org/10.3390/d13100464,,
Wally,Onset Computer Corporation,HOBO,Not mentioned,"Moorea, French Polynesia",-17.5,-149.83333,French Polynesia,Moorea,,Ecology,60,,NA,,8.5 years,,,,8,50,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Haguenauer et al. 2021,http://dx.doi.org/10.3390/fishes6030037,,
Wally,Onset Computer Corporation,HOBO,Not mentioned,"Heron Island, Australia",-23.45,151.91667,Australia,,,Ecology,15,,NA,,20 days,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Lantz et al. 2022,http://dx.doi.org/10.5194/bg-19-891-2022,,
Erik,Onset Computer Corporation,HOBO,Not mentioned,"26° 06 N, 80° 05 W",26.1,-80.08333,Florida,,,Ecology,0.5,,NA,,1 month (Feb 2017 to Mar 2017),,,,5,7,,NA,5-7m (?),Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,,https://doi.org/10.1007/s00227-021-03847-6,,
